1,Leap Coffee,2501 El Camino Real Oceanside CA 92056,33.179289,-117.329188,images.jpg
2,MiraCosta Cafe,1 Barnard Drive Oceanside CA 92056,33.191551,-117.303615,images.jpg
3,Starbucks,3702 Plaza Dr A Oceanside CA 92056,33.182625,-117.294886,images.png
4,TNL Boba Tea,3829 Plaza Dr Oceanside CA 92056,33.182352,-117.290917,user.jpg
5,Vending Machine MCC,1 Barnard Drive Oceanside CA 92056,33.190979,-117.302266,images.jpg
6,The Coffee Bean and Tea Leaf,2508 El Camino Real Oceanside CA 92056,33.180752,-117.324981,images.jpg
